VET ON THE HILL -PM TX1
COLIN & JUSTIN'S HOME HEIST -PM
THE AMAZING RACE-DAY
ANTIQUES ROADSHOW -EV
ORDERS TO KILL -PM
THE BARON -AM
POIROT -LE
GOOD GUYS AND THE BAD GUYS -PM
THE SMALL BACK ROOM -PM
BILLY THE EXTERMINATOR-DAY (R)
I BELIEVE IN YOU -AM
POLICE WOMAN-DAY
SEVEN'S TENNIS: 2018 AUSTRALIAN OPEN-DAY 2 FEED2
AMAZING MEDICAL STORIES: MERMAID GIRL -EV
HARDCORE PAWN-EARLY
BEYOND SAHARA - RIDING FROM CAIRO TO CAPE TOWN-DAY
ARE YOU BEING SERVED? -LE
GOTHAM -RPT
THE FALLEN IDOL -PM
ULTIMATE FISHING-DAY (R)
2019 AUSTRALIAN OPEN DAY 6 -PRE MATCH -GEM
ODETTE -PM
WENT THE DAY WELL -PM
GREAT LAKE WARRIORS-PM
ON THE BUSES -EM
SECRET DEALERS -EV
SOMETHING'S GOTTA GIVE -EV
SEA PATROL
SWAMP MEN-DAY (R)
WINNERS & LOSERS-EARLY (R)
REAL DETECTIVE -RPT
HARRY -AM
2019 SYDNEY INTERNATIONAL DAY 3 -DAY
THE STRANGER'S HAND -PM
WORLD'S TOUGHEST TRUCKER-PM
NEW TRICKS -EV
INK MASTER-EARLY
BIG NIGHT -PM
SUNCORP #TEAMGIRLS CUP
SHALAKO -PM
MIDSOMER MURDERS -LE
SEVEN'S HORSE RACING 2018
STORAGE WARS-DAY
CSI: CYBER RPT
HOT SEAT -5PM
JOESPH PRINCE: NEW CREATION CHURCH
GETAWAY -PM
DANOZ -AM
STORAGE WARS-PM
COUGAR TOWN-EARLY
CADEL EVANS GREAT OCEAN ROAD RACE - ELITE MEN
WEIRD WONDERS OF THE WORLD -EV
MARRIED AT FIRST SIGHT -MON -ENCORE
NINE'S AFTERNOON NEWS
MIXOLOGY-EARLY(R)
JAMIE'S QUICK & EASY FOOD RPT
WEEKEND SUNRISE - SAT - EARLY
SEVEN'S CRICKET: SECOND TEST - AUSTRALIA V SRI LANKA D1 S2
THE SIMPSONS-PM
AMERICAN PICKERS-PM (R)
SEVEN'S WAFL 2017
SEVEN'S TENNIS: 2017 AUSTRALIAN OPEN - DAY 1
SEVEN'S TENNIS: 2017 AUSTRALIAN OPEN - DAY 10
OUTBACK TRUCKERS-DAY
GREAT GETAWAYS
THE MORNING SHOW SUMMER SERIES - EXTRA
M- RESIDENT EVIL: APOCALYPSE-PM
KLONDIKE GOLD FEVER-PM
THE GRAND TOUR-PM
10 NEWS FIRST SAT
M- RUSH HOUR
UNDERCOVER BOSS UK RPT
